Date,Outcomes,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,,Count
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,d Other ethnic group,i No religion,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,a Christian,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Wilful Damage,,3
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,d Other ethnic group,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,a Christian,Other offences,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,f Jewish,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,i No religion,Other offences,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,i No religion,Violence,,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,25 - 29,e White,i No religion,Violence,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,1
